text,Author_num
"['CHAPTER', 'I.', 'TOM', 'SEEKS', 'NEW', 'ADVENTURES\n', '\n', 'DO', 'you', 'reckon', 'Tom', 'Sawyer', 'was', 'satisfied', 'after', 'all', 'them', 'adventures?', 'I', 'mean\n', 'the', 'adventures', 'we', 'had', 'down']",0
"['the', 'river,', 'and', 'the', 'time', 'we', 'set', 'the', 'darky', 'Jim\n', 'free', 'and', 'Tom', 'got', 'shot', 'in', 'the', 'leg.', 'No,', 'he', ""wasn't."", 'It', 'only', 'just', ""p'isoned\n""]",0
"['him', 'for', 'more.', 'That', 'was', 'all', 'the', 'effect', 'it', 'had.', 'You', 'see,', 'when', 'we', 'three\n', 'came', 'back', 'up', 'the', 'river', 'in', 'glory,', 'as', 'you', 'may']",0
"['say,', 'from', 'that', 'long', 'travel,\n', 'and', 'the', 'village', 'received', 'us', 'with', 'a', 'torchlight', 'procession', 'and', 'speeches,\n', 'and', 'everybody', ""hurrah'd"", 'and', 'shouted,', 'it', 'made', 'us', 'heroes,']",0
"['and', 'that', 'was', 'what\n', 'Tom', 'Sawyer', 'had', 'always', 'been', 'hankering', 'to', 'be.\n', '\n', 'For', 'a', 'while', 'he', 'WAS', 'satisfied.', 'Everybody', 'made', 'much', 'of', 'him,', 'and']",0
"['he', 'tilted\n', 'up', 'his', 'nose', 'and', 'stepped', 'around', 'the', 'town', 'as', 'though', 'he', 'owned', 'it.', 'Some\n', 'called', 'him', 'Tom', 'Sawyer', 'the', 'Traveler,', 'and', 'that', 'just']",0
"['swelled', 'him', 'up', 'fit', 'to\n', 'bust.', 'You', 'see', 'he', 'laid', 'over', 'me', 'and', 'Jim', 'considerable,', 'because', 'we', 'only', 'went\n', 'down', 'the', 'river', 'on', 'a', 'raft']",0
"['and', 'came', 'back', 'by', 'the', 'steamboat,', 'but', 'Tom', 'went\n', 'by', 'the', 'steamboat', 'both', 'ways.', 'The', 'boys', 'envied', 'me', 'and', 'Jim', 'a', 'good', 'deal,', 'but\n', 'land!']",0
"['they', 'just', 'knuckled', 'to', 'the', 'dirt', 'before', 'TOM.\n', '\n', 'Well,', 'I', ""don't"", 'know;', 'maybe', 'he', 'might', 'have', 'been', 'satisfied', 'if', 'it', ""hadn't"", 'been\n', 'for', 'old']",0
"['Nat', 'Parsons,', 'which', 'was', 'postmaster,', 'and', 'powerful', 'long', 'and', 'slim,\n', 'and', 'kind', ""o'"", 'good-hearted', 'and', 'silly,', 'and', 'bald-headed,', 'on', 'account', 'of', 'his\n', 'age,', 'and', 'about']",0
"['the', 'talkiest', 'old', 'cretur', 'I', 'ever', 'see.', 'For', 'as', 'much', 'as', 'thirty\n', 'years', ""he'd"", 'been', 'the', 'only', 'man', 'in', 'the', 'village', 'that', 'had', 'a', 'reputation--I\n']",0
"['mean', 'a', 'reputation', 'for', 'being', 'a', 'traveler,', 'and', 'of', 'course', 'he', 'was', 'mortal\n', 'proud', 'of', 'it,', 'and', 'it', 'was', 'reckoned', 'that', 'in', 'the', 'course', 'of']",0
"['that', 'thirty', 'years\n', 'he', 'had', 'told', 'about', 'that', 'journey', 'over', 'a', 'million', 'times', 'and', 'enjoyed', 'it', 'every\n', 'time.', 'And', 'now', 'comes', 'along', 'a', 'boy', 'not']",0
"['quite', 'fifteen,', 'and', 'sets', 'everybody\n', 'admiring', 'and', 'gawking', 'over', 'HIS', 'travels,', 'and', 'it', 'just', 'give', 'the', 'poor', 'old\n', 'man', 'the', 'high', 'strikes.', 'It', 'made', 'him']",0
"['sick', 'to', 'listen', 'to', 'Tom,', 'and', 'to', 'hear', 'the\n', 'people', 'say', 'ï¿½My', 'land!ï¿½', 'ï¿½Did', 'you', 'ever!ï¿½', 'ï¿½My', 'goodness', 'sakes', 'alive!ï¿½', 'and\n', 'all', 'such', 'things;', 'but']",0
"['he', ""couldn't"", 'pull', 'away', 'from', 'it,', 'any', 'more', 'than', 'a', 'fly\n', ""that's"", 'got', 'its', 'hind', 'leg', 'fast', 'in', 'the', 'molasses.', 'And', 'always', 'when', 'Tom', 'come\n']",0
